,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
80,AEJ,LSE,AEJ.L,LON:AEJ,https://www.google.com/finance?q=LON:AEJ,"http://finance.yahoo.com/echarts?s=AEJ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
81,AEJL,LSE,AEJL.L,LON:AEJL,https://www.google.com/finance?q=LON:AEJL,"http://finance.yahoo.com/echarts?s=AEJL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
82,AEMC,LSE,AEMC.L,LON:AEMC,https://www.google.com/finance?q=LON:AEMC,"http://finance.yahoo.com/echarts?s=AEMC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
83,AEN,LSE,AEN.L,LON:AEN,https://www.google.com/finance?q=LON:AEN,"http://finance.yahoo.com/echarts?s=AEN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
84,AEO,LSE,AEO.L,LON:AEO,https://www.google.com/finance?q=LON:AEO,"http://finance.yahoo.com/echarts?s=AEO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
85,AEP,LSE,AEP.L,LON:AEP,https://www.google.com/finance?q=LON:AEP,"http://finance.yahoo.com/echarts?s=AEP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
86,AERO,LSE,AERO.L,LON:AERO,https://www.google.com/finance?q=LON:AERO,"http://finance.yahoo.com/echarts?s=AERO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
87,AEWU,LSE,AEWU.L,LON:AEWU,https://www.google.com/finance?q=LON:AEWU,"http://finance.yahoo.com/echarts?s=AEWU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
88,AEX,LSE,AEX.L,LON:AEX,https://www.google.com/finance?q=LON:AEX,"http://finance.yahoo.com/echarts?s=AEX.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
89,AEY,LSE,AEY.L,LON:AEY,https://www.google.com/finance?q=LON:AEY,"http://finance.yahoo.com/echarts?s=AEY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
90,AFC,LSE,AFC.L,LON:AFC,https://www.google.com/finance?q=LON:AFC,"http://finance.yahoo.com/echarts?s=AFC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
91,AFG,LSE,AFG.L,LON:AFG,https://www.google.com/finance?q=LON:AFG,"http://finance.yahoo.com/echarts?s=AFG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
92,AFHP,LSE,AFHP.L,LON:AFHP,https://www.google.com/finance?q=LON:AFHP,"http://finance.yahoo.com/echarts?s=AFHP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
93,AFID,LSE,AFID.L,LON:AFID,https://www.google.com/finance?q=LON:AFID,"http://finance.yahoo.com/echarts?s=AFID.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
94,AFMC,LSE,AFMC.L,LON:AFMC,https://www.google.com/finance?q=LON:AFMC,"http://finance.yahoo.com/echarts?s=AFMC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
95,AFN,LSE,AFN.L,LON:AFN,https://www.google.com/finance?q=LON:AFN,"http://finance.yahoo.com/echarts?s=AFN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
96,AFPO,LSE,AFPO.L,LON:AFPO,https://www.google.com/finance?q=LON:AFPO,"http://finance.yahoo.com/echarts?s=AFPO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
97,AFRB,LSE,AFRB.L,LON:AFRB,https://www.google.com/finance?q=LON:AFRB,"http://finance.yahoo.com/echarts?s=AFRB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
98,AFS,LSE,AFS.L,LON:AFS,https://www.google.com/finance?q=LON:AFS,"http://finance.yahoo.com/echarts?s=AFS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
99,AFSL,LSE,AFSL.L,LON:AFSL,https://www.google.com/finance?q=LON:AFSL,"http://finance.yahoo.com/echarts?s=AFSL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
100,AFSU,LSE,AFSU.L,LON:AFSU,https://www.google.com/finance?q=LON:AFSU,"http://finance.yahoo.com/echarts?s=AFSU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
101,AG01,LSE,AG01.L,LON:AG01,https://www.google.com/finance?q=LON:AG01,"http://finance.yahoo.com/echarts?s=AG01.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
102,AG02,LSE,AG02.L,LON:AG02,https://www.google.com/finance?q=LON:AG02,"http://finance.yahoo.com/echarts?s=AG02.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
103,AG03,LSE,AG03.L,LON:AG03,https://www.google.com/finance?q=LON:AG03,"http://finance.yahoo.com/echarts?s=AG03.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
104,AG14,LSE,AG14.L,LON:AG14,https://www.google.com/finance?q=LON:AG14,"http://finance.yahoo.com/echarts?s=AG14.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
105,AG15,LSE,AG15.L,LON:AG15,https://www.google.com/finance?q=LON:AG15,"http://finance.yahoo.com/echarts?s=AG15.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
106,AG16,LSE,AG16.L,LON:AG16,https://www.google.com/finance?q=LON:AG16,"http://finance.yahoo.com/echarts?s=AG16.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
107,AG41,LSE,AG41.L,LON:AG41,https://www.google.com/finance?q=LON:AG41,"http://finance.yahoo.com/echarts?s=AG41.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
108,AG93,LSE,AG93.L,LON:AG93,https://www.google.com/finance?q=LON:AG93,"http://finance.yahoo.com/echarts?s=AG93.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
109,AG99,LSE,AG99.L,LON:AG99,https://www.google.com/finance?q=LON:AG99,"http://finance.yahoo.com/echarts?s=AG99.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
110,AGAP,LSE,AGAP.L,LON:AGAP,https://www.google.com/finance?q=LON:AGAP,"http://finance.yahoo.com/echarts?s=AGAP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
111,AGCP,LSE,AGCP.L,LON:AGCP,https://www.google.com/finance?q=LON:AGCP,"http://finance.yahoo.com/echarts?s=AGCP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
112,AGGP,LSE,AGGP.L,LON:AGGP,https://www.google.com/finance?q=LON:AGGP,"http://finance.yahoo.com/echarts?s=AGGP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
113,AGIT,LSE,AGIT.L,LON:AGIT,https://www.google.com/finance?q=LON:AGIT,"http://finance.yahoo.com/echarts?s=AGIT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
114,AGIZ,LSE,AGIZ.L,LON:AGIZ,https://www.google.com/finance?q=LON:AGIZ,"http://finance.yahoo.com/echarts?s=AGIZ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
115,AGK,LSE,AGK.L,LON:AGK,https://www.google.com/finance?q=LON:AGK,"http://finance.yahoo.com/echarts?s=AGK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
116,AGL,LSE,AGL.L,LON:AGL,https://www.google.com/finance?q=LON:AGL,"http://finance.yahoo.com/echarts?s=AGL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
117,AGM,LSE,AGM.L,LON:AGM,https://www.google.com/finance?q=LON:AGM,"http://finance.yahoo.com/echarts?s=AGM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
118,AGOL,LSE,AGOL.L,LON:AGOL,https://www.google.com/finance?q=LON:AGOL,"http://finance.yahoo.com/echarts?s=AGOL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
119,AGOU,LSE,AGOU.L,LON:AGOU,https://www.google.com/finance?q=LON:AGOU,"http://finance.yahoo.com/echarts?s=AGOU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
120,AGP,LSE,AGP.L,LON:AGP,https://www.google.com/finance?q=LON:AGP,"http://finance.yahoo.com/echarts?s=AGP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
121,AGQ,LSE,AGQ.L,LON:AGQ,https://www.google.com/finance?q=LON:AGQ,"http://finance.yahoo.com/echarts?s=AGQ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
122,AGR,LSE,AGR.L,LON:AGR,https://www.google.com/finance?q=LON:AGR,"http://finance.yahoo.com/echarts?s=AGR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
123,AGRI,LSE,AGRI.L,LON:AGRI,https://www.google.com/finance?q=LON:AGRI,"http://finance.yahoo.com/echarts?s=AGRI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
124,AGRO,LSE,AGRO.L,LON:AGRO,https://www.google.com/finance?q=LON:AGRO,"http://finance.yahoo.com/echarts?s=AGRO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
125,AGRP,LSE,AGRP.L,LON:AGRP,https://www.google.com/finance?q=LON:AGRP,"http://finance.yahoo.com/echarts?s=AGRP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
126,AGRY,LSE,AGRY.L,LON:AGRY,https://www.google.com/finance?q=LON:AGRY,"http://finance.yahoo.com/echarts?s=AGRY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
127,AGTA,LSE,AGTA.L,LON:AGTA,https://www.google.com/finance?q=LON:AGTA,"http://finance.yahoo.com/echarts?s=AGTA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
128,AGY,LSE,AGY.L,LON:AGY,https://www.google.com/finance?q=LON:AGY,"http://finance.yahoo.com/echarts?s=AGY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
129,AHCG,LSE,AHCG.L,LON:AHCG,https://www.google.com/finance?q=LON:AHCG,"http://finance.yahoo.com/echarts?s=AHCG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
130,AHT,LSE,AHT.L,LON:AHT,https://www.google.com/finance?q=LON:AHT,"http://finance.yahoo.com/echarts?s=AHT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
131,AI68,LSE,AI68.L,LON:AI68,https://www.google.com/finance?q=LON:AI68,"http://finance.yahoo.com/echarts?s=AI68.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
132,AIEA,LSE,AIEA.L,LON:AIEA,https://www.google.com/finance?q=LON:AIEA,"http://finance.yahoo.com/echarts?s=AIEA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
133,AIF,LSE,AIF.L,LON:AIF,https://www.google.com/finance?q=LON:AIF,"http://finance.yahoo.com/echarts?s=AIF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
134,AIFZ,LSE,AIFZ.L,LON:AIFZ,https://www.google.com/finance?q=LON:AIFZ,"http://finance.yahoo.com/echarts?s=AIFZ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
135,AIGA,LSE,AIGA.L,LON:AIGA,https://www.google.com/finance?q=LON:AIGA,"http://finance.yahoo.com/echarts?s=AIGA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
136,AIGC,LSE,AIGC.L,LON:AIGC,https://www.google.com/finance?q=LON:AIGC,"http://finance.yahoo.com/echarts?s=AIGC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
137,AIGE,LSE,AIGE.L,LON:AIGE,https://www.google.com/finance?q=LON:AIGE,"http://finance.yahoo.com/echarts?s=AIGE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
